,firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes,www,domain
0,"Di Sciullo-Terry, Stanton & Associates, Inc.",908 W. Main Street,,Arlington,TX,76013,8/31/2020,8/11/2000,8172753361,NS,615,,www.,dterry.com
1,ENERGETICS,3420 AVENUE A,,NEDERLAND,TX,77627-7228,8/31/2020,8/11/2000,409-722-5109,SP,622,,www.,energycountryford.com
2,ENTERPRISE ENGINEERING CONSULTANTS LTD,PO BOX 163,,PESHTIGO,WI,54157,8/31/2020,8/11/2000,7155824501,NS,623,,www.,enterprise-engineers-architects.com
3,ENVIRONMENTAL & CHEMICAL TECHNOLOGY INC,18827 AMADOR AVE,,DALLAS,TX,75252,8/31/2020,8/11/2000,972 867 8989,SP,624,,www.,mapquest.com
4,"Ergonomic Transportation Solutions, Inc.",PO BOX 926333,,HOUSTON,TX,77292-6333,8/31/2020,8/11/2000,713 956 9601,NS,625,,www.,etsiteam.com
5,ERNEST HEDGCOTH CONSULTING ENGINEERS INC,5701 MIDWAY RD #C,,FT. WORTH,TX,76117,8/31/2020,8/11/2000,817 831 7711,SP,626,,www.,bbb.org
6,Foundation Energy,5057 Keller Springs Rd Ste 650,,Addison,TX,75001,8/31/2020,8/11/2000,972 707 2500,NS,627,,www.,foundationenergy.com
7,FOWLER ENERGY COMPANY,4520 SPICEWOOD SPRINGS RD,STE. 200,AUSTIN,TX,78759,8/31/2020,8/11/2000,512 502 0101,NS,628,,www.,opencorporates.com
8,"FORREST A. GARB & ASSOCIATES, INC.",1701 Legacy Dr.,Suite 2005,Frisco,TX,75034,8/31/2020,8/11/2000,972-788-1110,NS,629,,www.,communityimpact.com
9,"GICE, Inc. DBA Garrett-Ihnen Civil Engineers","12007 Technology Blvd., Ste. 150",,Austin,TX,78727,8/31/2020,8/11/2000,512 454 2400,NS,630,,www.,gice.us
10,Geometrica Inc,"12300 Dundee Court, Ste 200",,Cypress,TX,77429,8/31/2020,8/11/2000,832-220-1200,NS,631,,www.,geometrica.com
11,GRIFFIN ENGINEERING GROUP INC,11808 Tedford Street,,Austin,TX,78753,8/31/2020,8/11/2000,5128363113,NS,634,,www.,porch.com
12,"H.J. GRUY AND ASSOCIATES, INC.",6575 W LOOP S #550,,BELLAIRE,TX,77401,8/31/2020,8/11/2000,713 739 1000,NS,637,,www.,hjgruy.com
13,HAYDEN CONSULTANTS INC,5646 Milton St #500,,Dallas,TX,75206,8/31/2020,8/11/2000,214-753-8100,NS,640,,www.,haydenconsultants.com
14,"HERRING TANK COMPANY, INC",7201 WEST VICKERY BLVD,,FT. WORTH,TX,76116,8/31/2020,8/11/2000,817 377 1851,NS,642,,www.,herringtank.com
15,HILBORN WERNER CARTER & ASSOCIATES INC,1627 S MYRTLE AVE,,CLEARWATER,FL,33756,8/31/2020,8/11/2000,7275848151,NS,644,,www.,hwceng.com
16,HVJ ASSOCIATES INC,6120 S DAIRY ASHFORD ROAD,,HOUSTON,TX,77072,8/31/2020,8/11/2000,2819337388,NS,646,,www.,hvj.com
17,HYDROLOGIC MONITORING,1654 W SAM HOUSTON PKWY,,HOUSTON,TX,77043,8/31/2020,8/11/2000,713-714-1626,NS,648,,www.,hmigroundwater.com
18,Ibarra Consulting Engineers Inc,3100 Monticello Ave,Suite 840,Dallas,TX,75205,8/31/2020,8/11/2000,2142191030,SP,649,,www.,ibarraengineers.com
19,"INNOVATIVE ELECTRICAL SYSTEMS, INC.",7550 W YALE AVE STE B-130,,DENVER,CO,80227,8/31/2019,8/11/2000,303 988 9305,NS,650,,www.,iesystems-inc.com
20,J A COSTANZA & ASSOCIATES ENGINEERING INC,4301 CENTER ST,,DEER PARK,TX,77536,8/31/2020,8/11/2000,2819309339,NS,652,,www.,business.gemcchamber.com
21,J W COLEY ENGINEERING,4540 HOLLYWOOD DR,,PORT ARTHUR,TX,77642-2057,8/31/2020,8/11/2000,409 962 2561,SP,654,,www.,BADQUERY
22,JAMES N BOSTIC PE,303 Colorado Street #2000,,Austin,TX,78701,8/31/2020,8/11/2000,512-495-6431,SP,656,,www.,kellyhart.com
23,"JANUARY CONSULTANTS, INC.",2407 SHADOW LANE DRIVE,,MCKINNEY,TX,75070-3709,8/31/2019,8/11/2000,214-551-4128,NS,657,,www.,facebook.com
24,Joe Johnson Engineering,1100 Dorrance Rd,,San Angelo,TX,76904,8/31/2020,8/11/2000,325-277-1781,SP,660,,www.,manta.com
25,JQH Engineering LLC,11115 CARRIAGE LAKE DR,,HOUSTON,TX,77065,8/31/2020,8/11/2000,8324836671,SP,664,,www.,facebook.com
