,firm_name,firm_address1,firm_address2,firm_city,firm_state,firm_zip,expire_date,create_date,firm_phone,firm_type,Firm_num,GregsNotes,www,domain
0,GONZALEZ ENGINEERING & SURVEYING INC,PO BOX 3104,,BROWNSVILLE,TX,78523-3104,5/31/2020,5/12/2000,9565465515,NS,1,,www.,bedc.com
1,JOSE I GUERRA INC,2401 S IH 35 STE 210,,AUSTIN,TX,78741,5/31/2020,5/12/2000,512-445-2090,NS,3,,www.,guerra.com
2,ACCUTECH CONSULTANTS LLC,909 NE LOOP 410 STE 900,,SAN ANTONIO,TX,78209,5/31/2020,5/19/2000,210 930 5355,NS,7,,www.,texasbids.us
3,Mark A Wallace DBA Action Engineering,6910 Priscilla Drive,,Austin,TX,78752-3138,4/30/2020,5/19/2000,512 970 4049,SP,8,,www.,texaschildrens.org
4,ADTEK ENGINEERS INC,"9990 Fairfax Blvd, Suite 300",,Fairfax,VA,22030,5/31/2020,5/19/2000,703 691 4040,NS,9,,www.,adtekengineers.com
5,ADV CONSULTING ENGINEERS INC DBA ADVANCED CONSULTING ENGINEERS,5524 BEE CAVES RD STE I-4,,AUSTIN,TX,78746,5/31/2020,5/19/2000,512-444-1739,SP,10,,www.,acengrs.com
6,"Wood Environment & Infrastructure Solutions, Inc.",Attn  Louise Reed,"2020 Winston Park Drive, Ste. 700",Oakville,ON,L6H 6X7,8/31/2020,8/4/2000,905-403-3450,NS,12,,www.,dnb.com
7,"Alan Plummer and Associates, Inc. DBA Alan Plummer Associates, Inc.",1320 South University Dr.,Suite 300,Ft. Worth,TX,76107,5/31/2020,5/19/2000,8178061700,NS,13,,www.,apaienv.com
8,ALEGRO ENGINEERING LP,5822 CROMO DRIVE,SUITE 105,EL PASO,TX,79912,5/31/2020,5/19/2000,9155330700,NS,14,,www.,yellowpages.com
9,ALPHA ENGINEERING,PO BOX 1251,,KINGSVILLE,TX,78364,5/31/2020,5/19/2000,361-592-2977,NS,16,,www.,kingsville.org
10,ALTON E GREEVEN PE CONSULTING ENGINEER,2611 WOODMONT AVE,,AUSTIN,TX,78703,5/31/2020,5/19/2000,512 477 8811,SP,18,,www.,porch.com
11,A N A Consultants LLC,5000 Thompson Terrace,,Colleyville,TX,76053,5/31/2020,5/26/2000,817 335 9900,NS,20,,www.,anallc.com
12,AMERICAN FOUNDATION CONSULTANTS INC,PO BOX 691731,,SAN ANTONIO,TX,78269,5/31/2020,5/26/2000,210-316-2147,NS,21,Domain not found. Load the address,www.,corporationwiki.com
13,AMERICAN STEAM INC,PO BOX 1149,,WYLIE,TX,75098,5/31/2020,5/26/2000,9724424499,NS,22,,www.,americansteam.com
14,AMISTAD CONSULTING SERVICES INC,501 E GARFIELD ST,,DEL RIO,TX,78840,5/31/2020,5/26/2000,830-775-4579,NS,24,Domain not found. Load the address,www.,facebook.com
15,"ASC, Apex Safety Consultants, LLC",1301 REGENTS PARK DR #101,,HOUSTON,TX,77058,5/31/2020,5/26/2000,2814881507,SP,27,,www.,opencorporates.com
16,ARIAS & ASSOCIATES INC DBA Arias/Arias Geoprofessionals,ATTN Amber Hawkins,142 CHULA VISTA Drive,SAN ANTONIO,TX,78232,5/31/2020,5/26/2000,2103085884,NS,32,,www.,ariasinc.com
17,"ARJO ENGINEERS, INC","5501 LBJ Freeway, Suite 435",,Dallas,TX,75240,5/31/2020,5/26/2000,214 520 7799,NS,33,,www.,arjoengineers.com
18,Ascent Engineering Inc,12 Greenway Plaza Ste 1100 (PMB 142),,Houston,TX,77046-1203,5/31/2020,5/26/2000,8778243620,NS,36,,www.,ascentengineering.com
19,"Civil & Environmental Consultants, Inc.",3711 S Mopac Expressway,"Building 1, Suite 550",Austin,TX,78746,5/31/2020,5/26/2000,512-329-0006,NS,38,,www.,cecinc.com
20,ATSER LP,ATTN  Charlene Martinez,1150 RICHCREST DR,HOUSTON,TX,77060,5/31/2020,5/26/2000,2819999961,NS,39,,www.,atser.com
21,AUSTROP ENGINEERING INC,2851 LA VENTANA PKWY,,DRIFTWOOD,TX,78619,5/31/2020,5/26/2000,512 858 1023,SP,40,Domain not found. Load the address,www.,clustrmaps.com
22,AVIATION ALLIANCE INC,PO BOX 799,,COLLEYVILLE,TX,76034-0799,5/31/2020,5/26/2000,8174980388,NS,41,,www.,aviationallianceinc.com
